entry_id	entry_status	error
DLP-xaimao_1-0109b	new	empty <definition> in sense DLP-xaimao_1-0109b-1
DLP-kirganelia_1-6575a	new	empty <definition> in sense DLP-kirganelia_1-6575a-1
DLP-catapultagem_1-42ee7.xml	validated	Entry ID with '.xml' at the end
DLP-kochia_1-b3656	new	empty <definition> in sense DLP-kochia_1-b3656-1
DLP-estorrina_1-63e6a.xml	new	Entry ID with '.xml' at the end
DLP-interespecifico_1-3f636.xml	new	Entry ID with '.xml' at the end
DLP-georreferenciar_1-58781	new	'[...]' <definition> in sense DLP-georreferenciar_1-58781-1
DLP-sincicial_1-47a75.xml	new	Entry ID with '.xml' at the end
DLP-mandala_1-24c17.xml	validated	Entry ID with '.xml' at the end
DLP-sangrante_1-3081a.xml	validated	Entry ID with '.xml' at the end
DLP-vasoativabilidade_1-20029	new	'[...]' <definition> in sense DLP-vasoativabilidade_1-20029-1
DLP-cata-sonhos_1-acc1b.xml	validated	Entry ID with '.xml' at the end
DLP-koelreuteria_1-40916	new	empty <definition> in sense DLP-koelreuteria_1-40916-1
DLP-pressionante_1-717d2.xml	validated	Entry ID with '.xml' at the end
DLP-afrocentrico_1-401bc.xml	new	Entry ID with '.xml' at the end
DLP-biogerontologia_1-8eb6a.xml	new	Entry ID with '.xml' at the end
DLP-alternativas_1-16941	new	'[...]' <definition> in sense DLP-alternativas_1-16941-1
DLP-oncocercose_1-e5422.xml	new	Entry ID with '.xml' at the end
DLP-taoista_1-9b082.xml	new	Entry ID with '.xml' at the end
DLP-sanjaco_1-3ea09.xml	new	Entry ID with '.xml' at the end
DLP-lobo-vermelho_1-10274.xml	validated	Entry ID with '.xml' at the end
DLP-lobo-etiope_1-17c0c.xml	new	Entry ID with '.xml' at the end
DLP-basquete_1-a2766.xml	new	Entry ID with '.xml' at the end
DLP-avistamento_1-9dd06.xml	new	Entry ID with '.xml' at the end
DLP-azul-russo_1-3152f.xml	new	Entry ID with '.xml' at the end
DLP-biblioterapeuta_1-5ac6b.xml	new	Entry ID with '.xml' at the end
DLP-fissionavel_1-4e26d.xml	new	Entry ID with '.xml' at the end
DLP-politico-economico_1-fd479.xml	validated	Entry ID with '.xml' at the end
DLP-chalante_1-12391.xml	validated	Entry ID with '.xml' at the end
DLP-nitrofurantoina_1-31897.xml	new	Entry ID with '.xml' at the end
DLP-orbitar_1-4c0bc.xml	new	Entry ID with '.xml' at the end
DLP-wrightia_1-ae121	new	empty <definition> in sense DLP-wrightia_1-ae121-1
DLP-termorregulacao_1-7e68a.xml	new	Entry ID with '.xml' at the end
DLP-dictionario_1-5b9b7	new	'[...]' <definition> in sense DLP-dictionario_1-5b9b7-1
DLP-pedopsicologia_1-9238f.xml	new	Entry ID with '.xml' at the end
DLP-anticovid_1-b222e.xml	validated	Entry ID with '.xml' at the end
DLP-lobo-iberico_1-e8b6d.xml	validated	Entry ID with '.xml' at the end
DLP-porta-pontas_1-22802.xml	new	Entry ID with '.xml' at the end
DLP-endotraqueal_1-2f4bf.xml	new	Entry ID with '.xml' at the end
DLP-cleveite_1-931ad.xml	new	Entry ID with '.xml' at the end
DLP-biogerontologista_1-330d5.xml	new	Entry ID with '.xml' at the end
DLP-visualizador_1-1412f.xml	new	Entry ID with '.xml' at the end
DLP-paper_1-7e3f6	new	'[...]' <definition> in sense DLP-paper_1-7e3f6-1
DLP-ministro-chefe_1-2ed4e.xml	new	Entry ID with '.xml' at the end
DLP-mm_1-b3cd9.xml	new	Entry ID with '.xml' at the end
DLP-subsistema_1-a6643.xml	new	Entry ID with '.xml' at the end
DLP-leonardesco_1-49fc4.xml	validated	Entry ID with '.xml' at the end
DLP-henoteismo_1-3ee13.xml	new	Entry ID with '.xml' at the end
DLP-transfronteirico_1-c3cdc.xml	new	Entry ID with '.xml' at the end
DLP-intraespecifico_1-5de1f.xml	new	Entry ID with '.xml' at the end
DLP-paleociencia_1-8eb2c.xml	new	Entry ID with '.xml' at the end
DLP-_1-d41d8	new	Empty <orth>
DLP-lobo-cinzento_1-d2687.xml	validated	Entry ID with '.xml' at the end
DLP-misturar_1-29539.xml	new	Entry ID with '.xml' at the end
DLP-expressavel_1-f41cf.xml	new	Entry ID with '.xml' at the end
DLP-inglesia_1-cfd47.xml	new	Entry ID with '.xml' at the end
DLP-atrebate_1-b292b.xml	new	Entry ID with '.xml' at the end
DLP-kolbia_1-e9c2f	new	empty <definition> in sense DLP-kolbia_1-e9c2f-1
DLP-herculaniano_1-f6b42.xml	validated	Entry ID with '.xml' at the end
DLP-uri_1-84473.xml	new	Entry ID with '.xml' at the end
DLP-keynesiano_1-d7863.xml	new	Entry ID with '.xml' at the end
DLP-surrealizante_1-1623f.xml	new	Entry ID with '.xml' at the end
DLP-xogunato_1-959e4.xml	new	Entry ID with '.xml' at the end
DLP-covidario_1-7de30.xml	new	Entry ID with '.xml' at the end
DLP-hachura_1-3bc05.xml	new	Entry ID with '.xml' at the end
DLP-rdf_1-07ad1.xml	validated	Entry ID with '.xml' at the end
DLP-contraparte_1-56ebc.xml	new	Entry ID with '.xml' at the end
DLP-tatami_1-37adb.xml	new	Entry ID with '.xml' at the end
DLP-cefalexina_1-5ce5f.xml	new	Entry ID with '.xml' at the end
DLP-alicercamento_1-d7a87.xml	validated	Entry ID with '.xml' at the end
DLP-sobrepressao_1-216b8.xml	new	Entry ID with '.xml' at the end
DLP-traqueite_1-99a71.xml	new	Entry ID with '.xml' at the end
DLP-korat_1-69bec.xml	edited	Entry ID with '.xml' at the end
DLP-stakeholder_1-51b6c	new	'[...]' <definition> in sense DLP-stakeholder_1-51b6c-1
DLP-saramaguiano_1-b4f1e.xml	validated	Entry ID with '.xml' at the end
DLP-cratao_1-30456.xml	new	Entry ID with '.xml' at the end
DLP-ordinariato_1-936e8	new	'[...]' <definition> in sense DLP-ordinariato_1-936e8-1
DLP-xacoto_1-df909	new	empty <definition> in sense DLP-xacoto_1-df909-1
DLP-remix_1-eaef8.xml	new	Entry ID with '.xml' at the end
DLP-inicializacao_1-c8f8a.xml	new	Entry ID with '.xml' at the end
DLP-sobreinfecao_1-e02ab.xml	new	Entry ID with '.xml' at the end
DLP-taliba_1-baad5.xml	new	Entry ID with '.xml' at the end
DLP-ventiloterapia_1-d126c.xml	validated	Entry ID with '.xml' at the end
DLP-sobreacumulacao_1-e7052.xml	new	Entry ID with '.xml' at the end
DLP-custarda_1-2d381.xml	validated	Entry ID with '.xml' at the end
DLP-cover_1-41d0e.xml	new	Entry ID with '.xml' at the end
