entity	xml_id	source_date
L14	DLP-ortonormado_1-916db	2026-06-29T00:00:00Z
L15	DLP-consignante_1-b84f7	2026-06-29T00:00:00Z
L16	DLP-possessao_1-f5171	2026-06-29T00:00:00Z
L17	DLP-trasladar-se_1-bd6d1	2026-06-29T00:00:00Z
L18	DLP-operador_3-06d4f	2026-06-29T00:00:00Z
L19	DLP-galopar_1-508c0	2026-06-29T00:00:00Z
L23	DLP-picole_1-baf29	2026-06-29T00:00:00Z
L24	DLP-euratom_1-13503	2026-06-29T00:00:00Z
L25	DLP-abjurante_1-cf3a3	2026-06-29T00:00:00Z
L27	DLP-epistilio_1-afcfd	2026-06-29T00:00:00Z
L28	DLP-papagaio-do-mar_1-cffe4	2026-06-29T00:00:00Z
L31	DLP-chieira_1-ce4df	2026-06-29T00:00:00Z
L32	DLP-estocada_1-880e2	2026-06-29T00:00:00Z
L33	DLP-atormentar_1-f0dfc	2026-06-29T00:00:00Z
L2	DLP-filo_1-d47bf	2026-06-29T00:00:00Z
L3	DLP-tiquetaque_1-9c177	2026-06-29T00:00:00Z
L10	DLP-nomocratico_1-edb76	2026-06-29T00:00:00Z
L11	DLP-locador_2-f7aae	2026-06-29T00:00:00Z
L12	DLP-eme_2-0d517	2026-06-29T00:00:00Z
L13	DLP-estabelecer_1-2d9ce	2026-06-29T00:00:00Z
L4	DLP-alarmante_1-d96b3	2026-06-29T00:00:00Z
L5	DLP-viking_1-a4ded	2026-06-29T00:00:00Z
L6	DLP-teucro_1-70b56	2026-06-29T00:00:00Z
L7	DLP-baldear_1-ea873	2026-06-29T00:00:00Z
L8	DLP-arreligioso_1-dee39	2026-06-29T00:00:00Z
L9	DLP-impossivel_1-3d3f9	2026-06-29T00:00:00Z
L20	DLP-atrapalhar_1-fedbd	2026-06-29T00:00:00Z
L21	DLP-profanar_1-45997	2026-06-29T00:00:00Z
L22	DLP-vivo_1-b0920	2026-06-29T00:00:00Z
L104	DLP-velense_2-a0daf	2026-06-29T00:00:00Z
L105	DLP-short_1-4f09d	2026-06-29T00:00:00Z
L106	DLP-tambi_1-e748f	2026-06-29T00:00:00Z
L97	DLP-buriti_1-87574	2026-06-29T00:00:00Z
L98	DLP-parascavedecatriafobia_1-f6702	2026-06-29T00:00:00Z
L107	DLP-adagio_2-404a9	2026-06-29T00:00:00Z
L108	DLP-endovenoso_1-9d719	2026-06-29T00:00:00Z
L109	DLP-intoleravel_1-56966	2026-06-29T00:00:00Z
L110	DLP-realismo_1-4fd43	2026-06-29T00:00:00Z
L111	DLP-assoberbar_1-98518	2026-06-29T00:00:00Z
L112	DLP-pavesar_1-6d6d4	2026-06-29T00:00:00Z
L113	DLP-pesames_1-bd841	2026-06-29T00:00:00Z
L114	DLP-interpretacao_1-00103	2026-06-29T00:00:00Z
L115	DLP-oidio_1-c7f50	2026-06-29T00:00:00Z
L116	DLP-prorrogar_1-fe9f4	2026-06-29T00:00:00Z
L126	DLP-aparar_1-bb22b	2026-06-29T00:00:00Z
L117	DLP-calido_1-9b330	2026-06-29T00:00:00Z
L118	DLP-grisao_2-d9370	2026-06-29T00:00:00Z
L119	DLP-esfoladeira_1-14fc6	2026-06-29T00:00:00Z
L120	DLP-arepa_1-aea15	2026-06-29T00:00:00Z
L121	DLP-geracional_1-d03e3	2026-06-29T00:00:00Z
L122	DLP-paraolimpiada_1-642fd	2026-06-29T00:00:00Z
L123	DLP-trogonideo_1-5bf7a	2026-06-29T00:00:00Z
L124	DLP-glutationa_1-9a609	2026-06-29T00:00:00Z
L125	DLP-joanico_1-db29e	2026-06-29T00:00:00Z
L127	DLP-dissuadir_1-0a0f3	2026-06-29T00:00:00Z
L128	DLP-mansamente_1-a2225	2026-06-29T00:00:00Z
L129	DLP-flatulencia_1-9fb08	2026-06-29T00:00:00Z
L130	DLP-filodendro_1-d9a55	2026-06-29T00:00:00Z
L131	DLP-ablativo_1-7b8de	2026-06-29T00:00:00Z
L132	DLP-iluminante_1-2f94f	2026-06-29T00:00:00Z
L133	DLP-psicoterapico_1-9f6b5	2026-06-29T00:00:00Z
L134	DLP-uv_1-deaa2	2026-06-29T00:00:00Z
L135	DLP-revulsao_1-2dcf3	2026-06-29T00:00:00Z
L136	DLP-diocesano_2-9c45c	2026-06-29T00:00:00Z
L138	DLP-espectrografo_1-054b0	2026-06-29T00:00:00Z
L144	DLP-karateca_1-0b615	2026-06-29T00:00:00Z
L431	DLP-litiase_1-94525	2026-06-29T00:00:00Z
L433	DLP-outsider_1-bed94	2026-06-29T00:00:00Z
L435	DLP-marcelista_2-17950	2026-06-29T00:00:00Z
L436	DLP-latinista_1-f4570	2026-06-29T00:00:00Z
L437	DLP-cosmometria_1-bb397	2026-06-29T00:00:00Z
L438	DLP-caledonio_2-53618	2026-06-29T00:00:00Z
L439	DLP-palicada_1-4d44b	2026-06-29T00:00:00Z
L440	DLP-doravante_1-dc2c7	2026-06-29T00:00:00Z
L441	DLP-bolilo_1-5a869	2026-06-29T00:00:00Z
L442	DLP-ir_1-d74ee	2026-06-29T00:00:00Z
L443	DLP-gatafunho_1-61166	2026-06-29T00:00:00Z
L446	DLP-salicaceas_1-6f4f3	2026-06-29T00:00:00Z
L247	DLP-papalvo_2-7fbb1	2026-06-29T00:00:00Z
L249	DLP-geologico_1-f7876	2026-06-29T00:00:00Z
L251	DLP-favorecedor_2-dbc67	2026-06-29T00:00:00Z
L252	DLP-hermetismo_1-7a332	2026-06-29T00:00:00Z
L253	DLP-acriancado_1-173fb	2026-06-29T00:00:00Z
L254	DLP-alegria_1-f8f01	2026-06-29T00:00:00Z
L255	DLP-efemeros_1-5fe31	2026-06-29T00:00:00Z
L256	DLP-orixala_1-2fff7	2026-06-29T00:00:00Z
L257	DLP-eugeniano_1-bc923	2026-06-29T00:00:00Z
L258	DLP-palear_2-848b7	2026-06-29T00:00:00Z
L259	DLP-desobedecer_1-7af51	2026-06-29T00:00:00Z
L260	DLP-toc_1-69942	2026-06-29T00:00:00Z
L261	DLP-venerador_2-4ee55	2026-06-29T00:00:00Z
L262	DLP-agarrador_3-a35a3	2026-06-29T00:00:00Z
L263	DLP-incidente_2-fc2cc	2026-06-29T00:00:00Z
L266	DLP-mototurismo_1-db546	2026-06-29T00:00:00Z
L267	DLP-rendado_1-188e9	2026-06-29T00:00:00Z
L269	DLP-aparelhamento_1-ce20c	2026-06-29T00:00:00Z
L359	DLP-encefalico_1-2373d	2026-06-29T00:00:00Z
L362	DLP-beatificamente_1-33129	2026-06-29T00:00:00Z
L67	DLP-empastar_1-b9774	2026-06-29T00:00:00Z
L68	DLP-mulherzinha_1-b8855	2026-06-29T00:00:00Z
L69	DLP-inobservante_1-91197	2026-06-29T00:00:00Z
L70	DLP-entrelacado_2-31ea8	2026-06-29T00:00:00Z
L71	DLP-bicho-de-conta_1-7bb56	2026-06-29T00:00:00Z
L72	DLP-desapontar_1-ba37e	2026-06-29T00:00:00Z
L75	DLP-inserto_2-31221	2026-06-29T00:00:00Z
L77	DLP-barcelonense_1-b5320	2026-06-29T00:00:00Z
L78	DLP-jus_1-6ecd1	2026-06-29T00:00:00Z
L79	DLP-papa-fina_1-a0532	2026-06-29T00:00:00Z
L81	DLP-bebedolas_1-86b93	2026-06-29T00:00:00Z
L82	DLP-despresuncao_1-b8d44	2026-06-29T00:00:00Z
L83	DLP-triunfador_1-25f7e	2026-06-29T00:00:00Z
L84	DLP-peco_1-c1764	2026-06-29T00:00:00Z
L85	DLP-intersetorial_1-83da6	2026-06-29T00:00:00Z
L86	DLP-sopeiro_2-1ec83	2026-06-29T00:00:00Z
L346	DLP-heroina_2-2fe43	2026-06-29T00:00:00Z
L349	DLP-tartessico_2-367f7	2026-06-29T00:00:00Z
L350	DLP-gastrenterologia_1-f87bc	2026-06-29T00:00:00Z
L351	DLP-especificativo_1-e1a14	2026-06-29T00:00:00Z
L352	DLP-ferromagnetico_1-98d00	2026-06-29T00:00:00Z
L353	DLP-espirografo_1-84cf8	2026-06-29T00:00:00Z
L354	DLP-padreador_1-74107	2026-06-29T00:00:00Z
L355	DLP-danificador_1-69bad	2026-06-29T00:00:00Z
L356	DLP-quarteirao_1-cf1b0	2026-06-29T00:00:00Z
L357	DLP-repetir_1-5ae1b	2026-06-29T00:00:00Z
L358	DLP-talha_1-7d273	2026-06-29T00:00:00Z
L80	DLP-enfim_1-b260c	2026-06-29T00:00:00Z
L87	DLP-anilho_1-aa306	2026-06-29T00:00:00Z
L88	DLP-protetoral_1-98b9b	2026-06-29T00:00:00Z
