usg_type,value,
domain,Acúst.,Acoustics
domain,Aeron.,Aeronautics
domain,Agr.,Agriculture
domain,Álg.,Algebra
domain,Anat.,Anatomy
domain,Antrop.,Anthropology
domain,Apic.,Apiculture
domain,Arit.,Arithmetics
domain,Arm.,Military
domain,Arqueol.,Arquaeology
domain,Arquit.,Arquitecture
domain,Art. Gráf.,Graphic Art
domain,Art. Pl.,Plastic Art
domain,Artilh.,Artillery
domain,Astrol.,Astrology
domain,Astron.,Astronomy
domain,Astronáut.,Astronautics
domain,Autom.,Automobile
domain,Bact.,Bacteriology
domain,Balíst.,Ballistics
domain,Biol.,Biology
domain,Bioquím.,Biochemics
domain,Biotec.,Biotechnology
domain,Bot.,Botanics
domain,Carn.,Butchery
domain,Carp.,Carpintery
domain,Cartog.,Cartography
domain,Cerâm.,Ceramics
domain,Chapel.,Chapelaria
domain,Cineg.,Cinegética
domain,Cinem.,Cinema
domain,Cirurg.,Chirurgie
domain,Comérc.,Commerce
domain,Comunic.,Communication
domain,Constr.,Construction
domain,Contab.,Contability
domain,Corr.,Postdienste
domain,Cosmol.,Cosmology
domain,Cristalog.,Cristalografia
domain,Cronol.,Chronology
domain,Cul.,Culinarics
domain,Curt.,Curtumes
domain,Cutel.,Cutelaria
domain,Danç.,Dance
domain,Desp.,Sports
domain,Diplom.,Diplomacy
domain,Dir.,Law
domain,Dir. Can.,Direito canónico
domain,Dir. Civil,Civil Law
domain,Dir. Comerc.,Commercial Law
domain,Dir. Fiscal.,Fiscal Law
domain,Dir. Intern.,International Law
domain,Dir. Marít.,Maritime Law
domain,Direito Civil,Civil Law
domain,Ecles.,Church
domain,Ecol.,Ecology
domain,Econ.,Economy
domain,Eletr,Electrics
domain,Eletr.,Electrics
domain,Eletrón.,Electronics
domain,Eletrotéc.,Electrotechnics
domain,Embr.,Embriologia
domain,Encad.,Encadernação
domain,Eng.,Engenharia
domain,Enol.,Enology
domain,Equit.,Equitação
domain,Esc.,Escolar
domain,Esgr.,Esgrima
domain,Estat.,Statistics
domain,Estrat.,Stratigraphics
domain,Ética,Ethics
domain,Ética.,Ethics
domain,Etnog.,Ethnology
domain,Etnol.,Ethnology
domain,Farm.,Pharmacy
domain,Filol.,Philology
domain,Filos.,Philosophy
domain,Fin.,Finances
domain,Fís.,Physics
domain,Fís. Atóm.,Atomphysik
domain,Fisiol.,Physiology
domain,Fonét.,Phonetics
domain,Fort.,Fortificação
domain,Fot.,Photography
domain,Fut.,Football
domain,Geneal.,Genealogy
domain,Genét.,Genetics
domain,Geod.,Geodesia
domain,Geog.,Geography
domain,Geol.,Geology
domain,Geologia,Geology
domain,Geom.,Geometry
domain,Gram.,Grammar
domain,Heráld.,Heraldics
domain,Hidrául.,Hydraulics
domain,Hidrog.,Hydrography
domain,Hig.,Hygiene
domain,Hist.,History
domain,Hist. Med.,History of Medicine
domain,Histol.,Histology
domain,Ict.,Ictiologia
domain,Ind.,Industry
domain,Inform.,Informatics
domain,Jur.,Law
domain,Ling.,Linguistics
domain,Literat.,Literature
domain,Liturg.,Liturgie
domain,Lóg.,Logics
domain,Mar.,Marítima
domain,Marc.,Marcenaria
domain,Mark.,Marketing
domain,Mat.,Mathematics
domain,Mecân.,Mechanics
domain,Med.,Medicine
domain,Med. Leg.,Legal Medicine
domain,Metal.,Metallurgy
domain,Meteor.,Meteorology
domain,Métr.,Metrics
domain,Metrol.,Metrologia
domain,Mil.,Military
domain,Miner.,Mineralogy
domain,Mitol.,Mithology
domain,Mús.,Music
domain,Náut.,Nautics
domain,Neur.,Neurology
domain,Numism.,Numismatics
domain,Ocult.,Occultism
domain,Olar.,Olaria
domain,Ópt.,Optics
domain,Ouriv.,Ourivesaria
domain,Paleog.,Paleography
domain,Paleont.,Paleontology
domain,Parasit.,Parasitology
domain,Pat.,Patologia
domain,Pec.,Pecuária
domain,Pedag.,Paedagogy
domain,Pesc.,Fishing
domain,Petrol.,Petrologia
domain,Pisc.,Piscicultura
domain,Polít.,Politics
domain,Psican.,Psychoanalysis
domain,Psicofisiol.,Psychophysiology
domain,Psicol.,Psychology
domain,Psiq.,Psychiatry
domain,Pub.,Publicidade
domain,Quím.,Chemistry
domain,Radiol.,Radiology
domain,Rel.,Religion
domain,Retór.,Rhetorics
domain,Sal.,Salinas
domain,Serr.,Serralharia
domain,Sider.,Siderurgy
domain,Silv.,Silviculture
domain,Sociol.,Sociology
domain,Tanoar.,Tanoaria
domain,Taurom.,Tauromaquia
domain,Teat.,Theatre
domain,Tecnol.,Technology
domain,Telecom.,Telecommunications
domain,Teleg.,Telegraphy
domain,Teol.,Theology
domain,Teos.,Theosophy
domain,Terat.,Teratologia
domain,Tip.,Typography
domain,Topog.,Topography
domain,Trigon.,Trigonometry
domain,TV,Television
domain,Veter.,Veterinarism
domain,Vin.,Vinificação
domain,Vit.,Viticulture
domain,Zool.,Zoology
domain,Zootec.,Zootecnia
region,...,
region,Áfric.,
region,Angol.,
region,Ásia,
region,Bras.,
region,Bras. (AL).,
region,Bras. (AM).,
region,Bras. (AP).,
region,Bras. (BA).,
region,Bras. (CE).,
region,Bras. (GO).,
region,Bras. (MA).,
region,Bras. (MG).,
region,Bras. (MS).,
region,Bras. (MT).,
region,Bras. (N.).,
region,Bras. (N.E.).,
region,Bras. (N.O.).,
region,Bras. (PA).,
region,Bras. (PB).,
region,Bras. (PE).,
region,Bras. (PI).,
region,Bras. (PR).,
region,Bras. (RJ).,
region,Bras. (RN).,
region,Bras. (RS).,
region,Bras. (S.).,
region,Bras. (SC).,
region,Bras. (SP).,
region,Brasil,
region,Brasil (Alagoas),
region,Caboverd.,
region,Damão.,
region,Goa.,
region,Guin.,
region,Índ.,
region,Macau.,
region,Moç.,
region,Port.,
region,Region.,
region,Region. (A. Alent.).,
region,Region. (Açores).,
region,Region. (Alent. Alg.).,
region,Region. (Alent.).,
region,Region. (Alg.).,
region,Region. (B. Alent.).,
region,Region. (Beira A.).,
region,Region. (Beira B.).,
region,Region. (Beira Lit.).,
region,Region. (Beiras).,
region,Region. (Douro Lit.).,
region,Region. (Douro).,
region,Region. (Estrem.).,
region,Region. (Mad.).,
region,Region. (Minho).,
region,Region. (Mir.).,
region,Region. (N.).,
region,Region. (Rib.).,
region,Region. (S.).,
region,Region. (Tr.-os-M.).,
region,Santom.,
region,Timor.,
register,...,
