lemma	posQid	pos	wikidata_id
-inho	Q102047	suffix	http://www.wikidata.org/entity/L995082
para	Q4833830	preposition	http://www.wikidata.org/entity/L618867
sobre	Q4833830	preposition	http://www.wikidata.org/entity/L502636
como	Q4833830	preposition	http://www.wikidata.org/entity/L502867
como	Q36224	pronoun	http://www.wikidata.org/entity/L502868
em	Q4833830	preposition	http://www.wikidata.org/entity/L477314
com	Q4833830	preposition	http://www.wikidata.org/entity/L477316
a	Q4833830	preposition	http://www.wikidata.org/entity/L490717
a	Q9788	letter	http://www.wikidata.org/entity/L47015
ele	Q468801	personal pronoun	http://www.wikidata.org/entity/L488745
até	Q4833830	preposition	http://www.wikidata.org/entity/L1017458
após	Q4833830	preposition	http://www.wikidata.org/entity/L501786
São Paulo	Q147276	proper noun	http://www.wikidata.org/entity/L184915
Europa	Q147276	proper noun	http://www.wikidata.org/entity/L671130
mas	Q36484	conjunction	http://www.wikidata.org/entity/L524070
ela	Q468801	personal pronoun	http://www.wikidata.org/entity/L43388
então	Q83034	interjection	http://www.wikidata.org/entity/L674370
então	Q36484	conjunction	http://www.wikidata.org/entity/L674371
desde	Q4833830	preposition	http://www.wikidata.org/entity/L676264
oxente	Q83034	interjection	http://www.wikidata.org/entity/L900666
-ista	Q102047	suffix	http://www.wikidata.org/entity/L989904
quem	Q36224	pronoun	http://www.wikidata.org/entity/L1490453
ou	Q36484	conjunction	http://www.wikidata.org/entity/L490719
lua de mel	Q1401131	noun phrase	http://www.wikidata.org/entity/L1119840
pé de atleta	Q1401131	noun phrase	http://www.wikidata.org/entity/L1120478
pé de chinelo	Q1401131	noun phrase	http://www.wikidata.org/entity/L1120481
pé de moleque	Q1401131	noun phrase	http://www.wikidata.org/entity/L1120484
do	Q126473	contraction	http://www.wikidata.org/entity/L476131
você	Q468801	personal pronoun	http://www.wikidata.org/entity/L500873
latino-americano	Q357760	adjectival locution	http://www.wikidata.org/entity/L1121685
latino-americano	Q1401131	noun phrase	http://www.wikidata.org/entity/L1121686
português	Q147276	proper noun	http://www.wikidata.org/entity/L448029
merda	Q83034	interjection	http://www.wikidata.org/entity/L991458
China	Q147276	proper noun	http://www.wikidata.org/entity/L680182
qualquer	Q36224	pronoun	http://www.wikidata.org/entity/L502640
este	Q36224	pronoun	http://www.wikidata.org/entity/L503957
isto	Q36224	pronoun	http://www.wikidata.org/entity/L503958
esse	Q36224	pronoun	http://www.wikidata.org/entity/L503959
isso	Q36224	pronoun	http://www.wikidata.org/entity/L503960
e	Q9788	letter	http://www.wikidata.org/entity/L47021
e	Q36484	conjunction	http://www.wikidata.org/entity/L618640
Júnior	Q1964223	name suffix	http://www.wikidata.org/entity/L301953
Neto	Q1964223	name suffix	http://www.wikidata.org/entity/L409524
contra	Q4833830	preposition	http://www.wikidata.org/entity/L676261
enquanto	Q36484	conjunction	http://www.wikidata.org/entity/L676267
qual	Q36224	pronoun	http://www.wikidata.org/entity/L676568
Maria	Q147276	proper noun	http://www.wikidata.org/entity/L901364
ai	Q83034	interjection	http://www.wikidata.org/entity/L908661
-fobia	Q102047	suffix	http://www.wikidata.org/entity/L995076
João	Q147276	proper noun	http://www.wikidata.org/entity/L1472953
ab absurdo	Q5978303	adverbial locution	http://www.wikidata.org/entity/L1490851
Castela	Q147276	proper noun	http://www.wikidata.org/entity/L1548842
sem	Q4833830	preposition	http://www.wikidata.org/entity/L676265
eu	Q468801	personal pronoun	http://www.wikidata.org/entity/L491661
outro	Q36224	pronoun	http://www.wikidata.org/entity/L669660
olho mágico	Q1401131	noun phrase	http://www.wikidata.org/entity/L1119794
pé de cabra	Q1401131	noun phrase	http://www.wikidata.org/entity/L1120480
pé de pato	Q1401131	noun phrase	http://www.wikidata.org/entity/L1120487
cê	Q36224	pronoun	http://www.wikidata.org/entity/L1073013
mesmo	Q34698	adjective	http://www.wikidata.org/entity/L646311
um	Q3813849	indefinite article	http://www.wikidata.org/entity/L46853
um	Q63116	numeral	http://www.wikidata.org/entity/L44970
dois	Q63116	numeral	http://www.wikidata.org/entity/L46867
no	Q126473	contraction	http://www.wikidata.org/entity/L477315
seu	Q36224	pronoun	http://www.wikidata.org/entity/L480996
todo	Q576271	determiner	http://www.wikidata.org/entity/L1118974
o	Q2865743	definite article	http://www.wikidata.org/entity/L2782
o	Q9788	letter	http://www.wikidata.org/entity/L47031
ave	Q83034	interjection	http://www.wikidata.org/entity/L983896
ave	Q83034	interjection	http://www.wikidata.org/entity/L983904
simulado	Q1084	noun	http://www.wikidata.org/entity/L449050
quando	Q36484	conjunction	http://www.wikidata.org/entity/L663725
quando	Q36224	pronoun	http://www.wikidata.org/entity/L663729
primeiro	Q63116	numeral	http://www.wikidata.org/entity/L670817
vossemecê	Q36224	pronoun	http://www.wikidata.org/entity/L1141751
sino-	Q134830	prefix	http://www.wikidata.org/entity/L1221607
